waste_type,total_generate_1k_tonnes,total_recycled_1k_tonnes,year
Construction & Demolition,1624,1618,2018
Ferrous Metals,1269,126,2018
Paper/Cardboard,1054,586,2018
Plastics,949,41,2018
Food,763,126,2018
Wood/Timber,521,428,2018
Horticultural,320,227,2018
Textile/Leather,220,14,2018
Used Slag,181,179,2018
Non-Ferrous Metals,171,170,2018
Glass,64,12,2018
Scrap Tyres,32,29,2018
"Others (stones, ceramic, rubber, ect)",286,11,2018
Overall,7695,4726,2018
Construction & Demolition,1440,1434,2019
Ferrous Metals,1278,1270,2019
Paper/Cardboard,1011,449,2019
Plastics,930,37,2019
Food,744,136,2019
Wood/Timber,438,289,2019
Horticultural,400,293,2019
Textile/Leather,168,6,2019
Used Slag,129,127,2019
Non-Ferrous Metals,126,124,2019
Glass,75,11,2019
Scrap Tyres,33,31,2019
"Others (stones, ceramic, rubber, ect)",210,15,2019
Overall,7234,4247,2019
Paper/Cardboard,1144,432,2020
Ferrous Metals,934,930,2020
Plastics,868,36,2020
Construction & Demolition,825,822,2020
Food,665,126,2020
Horticultural,313,249,2020
Wood/Timber,304,195,2020
Textile/Leather,137,6,2020
Used slag,106,104,2020
Non-Ferrous Metals,75,73,2020
Glass,66,7,2020
Scrap Tyres,23,22,2020
"Others (stones, ceramic, rubber, ect)",193,21,2020
Overall,5880,3040,2020
Construction & Demolition,1013,1011,2021
Ferrous Metals,1312,1306,2021
Paper/Cardboard,1136,437,2021
Plastics,982,58,2021
Food,817,154,2021
Wood/Timber,310,234,2021
Horticultural,332,277,2021
Textile/Leather,189,7,2021
Used Slag,182,181,2021
Non-Ferrous Metals,88,87,2021
Glass,74,9,2021
Scrap Tyres,27,26,2021
"Others (stones, ceramic, rubber, ect)",233,18,2021
Overall,6944,3826,2021
Construction & Demolition,1424,1419,2022
Ferrous Metals,1338,1331,2022
Paper/Cardboard,1064,394,2022
Plastics,1001,57,2022
Food,813,146,2022
Wood/Timber,419,298,2022
Horticultural,221,188,2022
Textile/Leather,254,5,2022
Used Slag,169,166,2022
Non-Ferrous Metals,92,91,2022
Glass,73,11,2022
Scrap Tyres,26,25,2022
"Others (stones, ceramic, rubber, ect)",249,30,2022
Overall,7385,4188,2022
Food,791,111,2016
Paper/Cardboard,1183,607,2016
Plastics,822,60,2016
Construction & Demolition,1595,1586,2016
Horticultural,321,209,2016
Wood/Timber,531,412,2016
Ferrous Metals,1358,1352,2016
Non-Ferrous Metals,97,96,2016
Used slag,251,247,2016
Glass,72,15,2016
Textile/Leather,151,11,2016
Scrap Tyres,33,30,2016
"Others (stones, ceramic, rubber, ect)",383,7,2016
Overall,7814,4769,2016
Food,786,104,2015
Paper/Cardboard,1192,604,2015
Plastics,825,58,2015
Construction & Demolition,1412,1403,2015
Horticultural,362,237,2015
Wood/Timber,371,294,2015
Ferrous Metals,1349,1333,2015
Non-Ferrous Metals,180,160,2015
Used slag,370,366,2015
Glass,75,15,2015
Textile/Leather,157,13,2015
Scrap Tyres,36,33,2015
"Others (stones, ceramic, rubber, ect)",365,6,2015
Overall,7674,4650,2015
Food,789,101,2014
Paper/Cardboard,1237,647,2014
Plastics,869,80,2014
Construction & Demolition,1270,1260,2014
Horticultural,278,163,2014
Wood/Timber,368,293,2014
Ferrous Metals,1446,1389,2014
Non-Ferrous Metals,118,95,2014
Used slag,366,361,2014
Glass,80,16,2014
Textile/Leather,159,17,2014
Scrap Tyres,26,23,2014
"Others (stones, ceramic, rubber, ect)",360,5,2014
Overall,7515,4471,2014
Food ,796,100,2013
Paper/Cardboard,1261,679,2013
Plastics,832,91,2013
