,,,,,,,,,,,,,,,
Theme: Households,,,,,,,,,,,,,,,
Subject: Household Income,,,,,,,,,,,,,,,
Topic: Household Characteristics,,,,,,,,,,,,,,,
"Table Title: Average Number of Employed Persons Among Resident and Resident Employed Households by Type of Dwelling, 2000 - 2022 (Household Income From Work, Annual)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data last updated: 09/02/2023,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Year,Resident Households,,,,,,,Resident Employed Households,,,,,,,
,Total1/,HDB 1- & 2- Room Flats2/,HDB 3-Room Flats,HDB 4-Room Flats,HDB 5-Room & Executive Flats,Condominiums & Other Apartments,Landed Properties,Total1/,HDB 1- & 2- Room Flats2/,HDB 3-Room Flats,HDB 4-Room Flats,HDB 5-Room & Executive Flats,Condominiums & Other Apartments,Landed Properties,
,,,,,,,,,,,,,,,
All the selected data series are no longer available.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,
Note: A resident household refers to a household where the household reference person is a Singapore citizen or permanent resident. A resident employed household refers to a resident household with at least one employed person.,,,,,,,,,,,,,,,
Resident Employed Households -> HDB 1- & 2- Room Flats:,,,,,,,,,,,,,,,
2/ Includes HDB studio apartments.,,,,,,,,,,,,,,,
Resident Employed Households -> Total:,,,,,,,,,,,,,,,
"1/ Total includes other types of dwelling not shown, e.g. non-HDB shophouses etc.",,,,,,,,,,,,,,,
Resident Households -> HDB 1- & 2- Room Flats:,,,,,,,,,,,,,,,
2/ Includes HDB studio apartments.,,,,,,,,,,,,,,,
Resident Households -> Total:,,,,,,,,,,,,,,,
"1/ Total includes other types of dwelling not shown, e.g. non-HDB shophouses etc.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,
Employed Persons:,,,,,,,,,,,,,,,
"Employed persons refer to persons aged 15 years and over who, during the reference period: (i) Work for one hour or more either for pay, profit or family gains; (ii) Have a job or business but are temporarily absent because of illness, injury, breakdown of machinery at workplace, labour-management dispute or other reasons. Member of the Singapore Armed Forces including full-time National Servicemen are included in the count of persons employed, unless otherwise specified.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,
Date generated: 09/10/2023,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,
